uεόν,renovatur,induo
μετά,cum,autem
μετεωρίζω,quaero,manduco
μετοικίζω,transfero,deeo
μετρητός,hydria,metreta
μή,alioqui,uter
μήπω,nondum,significo
μήτιγε,saecularia,iudico
μῆδος,Pontum,Parthi
μηδέ,manduco,contrectaveris
μηδεμιάν,nullus,ullus
μηκύνω,dormio,incresco
μηρός,rex,dominor
μητρίς,mater,puella
μίλητος,venimus,sequor
μίσθωμα,conduco,suscipio
μιαίνω,praetorius,amaritudo
μιμέομαι,imitor,inquies
μισθιών,vocari,iam
μισέω,odi,odeum
μισθωτής,mercenarius,relinquo
μιχαήλ,Michahel,draco
μνάσωνί,Caesarea,hospitor
μνειάν,memoria,ago
μνημειᾶ,monumentum,vae
μνημόσυνον,memoria,ubicumque
μνημειο͂ν,monumentum,pono
μνημονευέιν,laboro,infirmus
μνημονευήτε,locutus,venerit
μνησθησομαι,recordor,iniquitas
μόλις,vix,vocatur
μόσχος2,similis,sagino
μογιλάλος,mutum,inpono
μοιχειᾴ,deprehendo,adulterium
μοιχευέι,moechor,dimitto
μοιχευόντας,moechor,ago
μολύνω,conscio,agnus
μονή,diligo,mansio
μονογενής,unigenitus,unicus
μύλος,amplus,mola
μύρρα,Lyciae,pelagus
μῦρος,pedes,unguento
μυκτηρίζω,irrideo,erro
μυριάς,milium,numerus
μυσιάν,Mysiam,pertranseo
μυστηριῴ,mysterium,prudentia
μώλωψ,peccatum,iustitia
μωμάομαι,vituperetur,offensio
μουνυχιών,saeculum,glorior
μωριά,stultitia,percipio
μωρός,stultus,sapio
μωυσεώς,Mosi,Mosen
ν͂16,oraverunt,Sanctum
ναασσών,Naasson,gigno
ναζαρέθ,Nazareth,benefacio
ναζωραιόυ,Nazareni,nomen
ναζωραιος,Nazarenus,Pilatus
ναθαναήλ,Nathanahel,Philippus
ναιμάν,leprosus,propheta
ναούμ,Amos,Naggae
ναῦς,uter,vinum
νέκρωσις,emortuus,consideravit
νέω,insula,evasissemus
νεάς,adulescentula,sparsio
νεανιάς,somnus,adulescens
νεκρός,iudico,sinis
νεόφυτος,neophytus,superbia
νεφέλη,nubis,sedeo
νεφρός,interficio,vestra
νή,Domino,Christo
νήφω,sobrius,vigilate
νηπιάζω,sensus,efficio
νηπιών,infans,insipiens
νησιόν,obtineo,Caudam
νηστειάν,iam,ieiunium
νηστευήτε,ieiuno,recipio
νηφάλιος,hospitalis,sobrius
νηστευόυσιν,ieiuno,Iohannis
νίζω,pedes,lava
νικόπολις,Tychicum,festinus
νινευεῖται,surgo,condemno
νόθος,disciplina,particeps
νικάω,scribo,mundus2
νότος,haustrum,tres
νοήμα,redigo,scientia
νομικός,peritus,tento
νομοθετέω,ordino,sacerdos
νοσσιά,congrego,Hierusalem
νοσφίζω,pretio,ager
νουθετέω,moneo,corripio
νόμος,lego2,lego
νύξ,nox,atque
νυμφιόν,possum,architriclinus
νυμφών,possum,ieiuno
νυχθήμερος,ter,naufragium
νωθρός,grandis,imbecillis
ξένος,hospes,saluto
ξενίζω,hospitor,coriarius
ξηρά,aridus,surgo
ξος,venimus,indo
ὄγδοος,mundo,originalis
ὄϊς,vigilate,vester
ὄμβρος,statim,videritis
ξύλον,lignum,pretiosus
ὄναρ,somnus,Ioseph
ὄνος,pullum,asina
ὄπισθεν,retro,tango
ὄρθρος,diluculum,templum
ὄρος,mons,Oliveti
ὄφελος,prosum,salvare
ὄψιμος,igitur,exspecto
ὀγδοήκοντα,octoginta,deinde
ὀδυνάω,Abraham,crucio
ὀζείας,gigno,Ioatham
ὀθονιόις,sepelio,mos
ὀκνηρός,piger,Domino
ὀλιγοπιστιάν,transeo,incredulitas
ὀλοθρευών,primitiva,vastabat
ὀμειρόμενοι,cupidus,desidero
ὀμνυέτε,iuramentum,iuror
ὀνειδίζω,beatum,inpropero
ὀλίγος,paucus,modicum
ὀνησιφόρος,Onesifori,Priscam
ὀνομάζω,nomino,nome
ὀπή,emano,dulcis
ὀπτάω,mellum,favum
ὀπτασιάς,revelationes,veniam
ὀργή,ira,indignatio
ὀρέγω,desidero,appeto
ὀρθόω,rectum,vives
ὀρθρίζω,manico,populus2
ὀρινήν,abeo,montana
ὀρύσσω,fodio,parabola
ὀσμή,odor,allium
ὀστεών,os2,mandavit
ὀσφυάς,sobrius,succinctus
ὀσφυός,lumbus,Levi
ὀφειλέτης,debitor,dimitto
ὀφθαλμοδουλιάις,servientes,oboedio
ὀχλέω,curo,affero
ὀψάριον,panis,piscis
ὀψία,vespere,malus2
ὀψώνιον,Domino,Christo
ὅλος,totus2,totus
ὅπλον,arma,membro
ὅραμα,visum,vidit
ὅρκος,iuramentum,iusiurandum
ὁ,edo,dico2
ὅς2,edo,ego
ὅστις,primus,saluto
ὅτι,quia,dico2
ὁδηγός,caecus,duco
ὁδοιποριάις,ter,naufragium
ὁλόκληρος,integer,deficio
ὁλοτελής,sinis,pax
ὁμιλέω,fabulor,satis
ὁμόφρων,amator,fraternitas
ὁμοίωμα,similitudo,forma
ὁμοιότης,similitudo,conpatior
ὁμοιώς,similis,tertius
ὁμολογέω,confiteor,coram
ὁμοῦ,simul,duo
ὁποιο͂́ν,ignis,uniuscuiusque
ὁράω,dico2,ecce
ὁριόις,finis,magus
ὁρκωμοσιάς,iureiuro,sinis
ὁρμή,impetus,afficio
ὁσιότης,iustitium,sanctitas
οίκιάν,fur,venturus
οἴμη,scribo,arbitror
οἶνος,vinum,uter
οἰκεῖος,habito,Spiritus
οἰκειών,negavit,domesticus
οἰκία,vendebant,pretio
οἰκιάν,intro2,fors
οἰκοδεσπότης,familia,ubius
οἰκοδομέω,aedifico,supra
οἰκον,sacerdos,
οἰκονομιά,dispensatio,creavit
οἰκουμένη,orbus,orbis
οἰκτίρω,misereo,misericordia
οἰνοπότης,bibo,peccatum
οῖ,beatum,vocati
οιἔσθω,aestimo,Domino
οιὁ͂ι,plenitudo,tantus
οιὁ͂ς,terrenus,talis
οὔριος,Urbanum,Stachyn
οὖς,auris,oculus
οὐδέποτε,numquam,sic
οὐδεμιά,nullus,animus
οὐρά,cauda,similis
οὐρανιόυ,caelestis,laudo
οὐρανόω,descendo,Pater
οὐσιάς,substantia,contingo
οῦν,rex,ita
ουτος,Iudaeorum,rex
πάθημα,passio,gloria
πάλλω,olim,vae
πάρειμι,semper,apud
πάροικος,abstineo,advenas
πάσχειν̓,Christo,patior
πάτμος,insula,particeps
παγίς,laqueus,incido2
παίζω,ludo,efficio
παιδάριον,hordiacios,quin
παιδειᾴ,provocare,correptio
παιδεύω,emendo,dimitto
παιδευόυσα,salutaris,gratia
παιδίσκη,ancilla,liber
παιδιόν,puer,mater
παιδότροφος,puer,David
παλαιότης,serviamus,soluo
παλινγενεσιᾴ,duodecim,sedeo
παμφυλιάν,Lyciae,pelagus
πανδοχειο͂ν,inpono,ago
πανοπλιάν,possum,arma
πανουργιάν,dolus,considero
πανταχόθεν,omnipotens,Dominus
παντες,unusquisque,cognosco
παρα,oleo,iniquitas
παράγω,sequor,transeo
παράδοσις,traditio,teneo
παράκλητος,paracletus,abeo
παραβάλλω,venimus,sequor
παραβαλήν,parabola,colonus
παραβολεύομαι,accedo,idus
παραγγελιᾴ,praecipio,iste
παραγίγνομαι,venissent,senex
παραδειγματίζω,rursus,prolabor
παραθαλασσιάν,Nepthalim,Zabulon
παραθήκη,depositum,custos
παρακαθέζομαι,etiam,Maria
παρακλάομαι,consolatio,consolor
παρακολουθέω,adsequor,optume
παραλήμψομαι,iterum,abeo
παραλλαγή,apud,perfectus
παραλυτικός,paralyticus,peccatum
παραμυθέομαι,consolor,Mariam
παρανομιάς,mutum,correptio
παραπικρασμός,exacerbatio,desertum
παραλαμβάνω,assumo,puer
παραπλησιώς,mors,similis
παρασκευάζω,parasceves,paro
παρατήρησις,Pharisaeis,interrogo
παρατυγχάνω,igitur,forus
παραφρονέω,abundo,frequenter
παραχειμασιάν,hiemo,portus
παρεῖχαν,reficio,accendo2
παρεισεδυήσαν,gratia,luxuria
παρέχω,praesto2,molestus
παρεμβάλλω,circumdo,inimicus
παρεπίδημος,peregrinus,advenis
παρηγοριά,adiutor,Iustus
παρθενιάς,Aser,annus
παριστάνω,exhibeo,oboedio
παρόμοιος,rescindo,vestram
παροικιᾴ,exaltavit,eligo
παροιμιάν,alienum,proverbium
παροξύνω,Athenis,ambitiosus
παροργισμός,irasco,iracundia
παρουσιᾴ,adventu,consolor
παροψίς,foris,parapsidis
παρρησιάζομαι,ago,fiducialiter
παρών,praesens,absum
πατέομαι,consolor,signum
πατρίς,Patri,patria
πατριάρχης,patriarcha,Iacob
πατρολωᾴις,subditus,lex
πατρωόͅυ,veritatem,eruditus
παῦλος,Paulus,Paulum
παυόμαι,cedo,ago
πέλαγος,Lyciae,pelagus
πέπτωκες,paenitentia,ita
πένθος,quin,talentum
πέρας,numquid,sonus2
πέρθω,maneo,res
πέσσω,venissent,vobiscum
πεδινός,copiosus,turbo
πειθαρχέω,oboedio,dicto
πεινᾷν,abundo,satio
πείθω,confido,suadeo
πειρασμός,temptationem,oratum
πενθέω,lugeo,fleo
πενιχρός,pauperculus,minutus
πεντακισχίλιοι,quin,milium
πεντακόσιοι,feneratori,quingenti
πεντηκοστός,pentecosten,parito
πεποιήκα,ter,naufragium
περάω,controversiae,iuro
περίθεσις,indumentum,circumdatio
περίσσευμα,abundantia,malus2
περίψημα,purgamentum,peripsima
περιαστράπτω,appropinquo,circumfulgeo
πέτρος,Petrus,dico2
περιβόλαιον,idem,deficio
περιέργα,invenerunt,denarius
περιέχω,contineo,captura
περιίστημι,devita,inaniloquium
περικλάω,vigilate,tero
περικαλύπτω,prophetizo,caedo
περικυκλόω,circumdo,inimicus
περιμένω,convescens,praecipio
περιούσιος,redimo,iniquitas
περιπείρω,fidus,malus2
περιποιέω,perdo,quaeso
περιρρήγνυμι,virgis,scissis
περισσειάν,abundantia,mansuetudo
περισσευέιν,abundo,satio
περισσευήτε,abundo,gratia
περισσευόντες,abundo,actio
περισσευο͂ν,fragmentum,saturo
περιστερά,columba,templum
περιτίθημι,aceto,circumdo
περιτομή,circumcisio,praeputium
περιφέρω,circumfero,universam
περσίς,saluto,Domino
πετο,Aristarchus,Thessalonicensium
πετρώδης,petrosus,continuus
πήσσω,figo,sanctum
πηγάζω,fons,gratus
πηδαλιόυ,dirigo,ubius
πηλός,lutus,oculus
πίμπρημι,at,spero
πίπτω,cado,caedo
πιάζω,Pharisaei,apprehendo
πιέσθε,bibo,baptizo
πιῄ,aqua,Domino
πιθός,verbis,persuasibilis
πικριά,amaritudo,blasphemium
πικρόω,flevit,egredior
πιότης,aliquis,radix
πιστευέις,Agrippa,propheta
πιστευέτέ,veritatem,arguo
πιστευόμεν,Christo,salvari
πιστευόντες,exultatis,laetitia
πιστευώ,adoravit,convenientibus
πιστόν,fidelis,sanctum
πιστόω,fidelis,disco
πιώσιν,aegrotus,benus
πλάξ,tabula,carnalis
πλάτος,longitudo,latitudo
πλατεῖα,recipio,oro
πλατειᾶ,singulus,porta
πλέκω,plecto,corona
πλειόνας,animus,promptus2
πλειόνος,amplus,habitus
πλειο͂́ν,vestimentum,animo
πιστεύω,credo,edo
πλεόν,nihil,navigantem
πλεονάζω,abundo,invicem
πλεονεξιά,decet,avaritia
πλεονεξιάν,quasi,avaritiam
πλεών,destituo,gubernator
πλήρωμα,plenitudo,fragmentum
πλήν,verumtamen,gaudeo
πληθύνω,multiplico,benedico
πληοοφοριᾴ,cor,accedo
πληροφοριᾴ,plenitudo,tantus
πλῆθος,multitudo,magna
πλοιάριον,ibi,turbo
πλησιόν,proximi,diligo
πλοιόυ,navi,navis
πλοιών,tertius,pars
πλουσιόις,divitibus,incertus
πλούσιος,dives,divites
πλουσιώς,abundus,abundanter
πλύνω,stola,beatum
πνεόντα,flo,aestus
πνικτός,abstineo,scribo
πνευματικός,spiritalis,animalis
πόλεμος,bellum,proelium
πόνος,prae,ultra
πόρκιος,Felix,vinctum
πόσις,potus,festus
πότος,idolum,luxuria
ποίημα,intellego,creatura
ποῖος,ubius,nescio
ποιέι,vives,malus2
ποιήσόν,vocari,iam
ποικίλης,alteruter,dispensator
ποιμαίνω,pasco,grex
ποιμνιόυ,grex,clerus
ποιόυ,lego,excludo
πολέμων,nondum,bellum
πολίτευμα,salvatorem,conversatio
πολιτειάν,consequor,civitatem
πολιτευέσθε,sive,fidus
πολλοι,conor,narratio
πολύτιμος,pretiosus,unguentum
πολυποίκιλος,multiformis,caelestis
πολυτροπως,multifarius,propheta
πονηριᾴ,malignitas,repletos
πονηριάς,adversus,nequitia
ποντιόυ,tetrarches,Pilato
πορειάις,dives,ito
πορευέσθαι,irus,dum
πορευέται,vadit,sub
πορευώμαι,deduco,videam
πορνειά,fornicatio,inter
πορνειάς,fornicatio2,dimitto
πορνευώμεν,fornicor,milium
πορφύρα,purpura,induo
ποσάκις,Hierusalem,congrego
ποταμοί,sanguis,aqua
ποταπή,tango,propheta
ποταπούς,conversationibus,dissolvenda
ποτηριόυ,calix,foris
ποτίζω,potus,sive
που,apprehendo,nusquam
πρᾶγμα,res,negotior
πραγματεύομαι,decem,mina
πραιτώριον,praetorius,iterum
πραΰτης,modestia,contineo
πραΰτητος,mansuetudo,caritas
πρέπων,decet,velatam
πρεσβευόμεν,Christo,fungor
πρεσβῦτις,anus,criminatrix
πρεσβυτερος,diligo,veritate
πρίν,prior,gallus2
πρίσκιλλα,Aquila,Priscilla
πούς,pedes,pes
προ,mundo,diligo
πρόγνωσις,praescientia,multiplico
πρόδρομος,praecursor,Melchisedech
πρόξ,velamen,aufero
πρόκειμαι,sustineo,propositum
πρόσκλισις,electa,sinis
πρόσοχθίζω,infensus,annus
πρόσφημι,initiavit,velamen
πρόσωθεν,longus,saluto
πρόφασις,prolixus,devorant
προαγορεύω,praedico2,iterum
προακούω,verbo,veritatis
προβάλλω,silentium,Alexander
προβατικός,Probatica,cognomino
προβλέπω,providente,sinis
προγράφω,scribo,scriptum
προενάρχομαι,coepi,ito
προέρχομαι,transeo,oro
προευηγγελίσατο,benedico,scriptura
προθυμιά,perficio,prompto
προί̈μον,igitur,exspecto
προκαταγγέλλω,propheta,proditor
προκηρύσσω,adventus,Iohanne
προκυρόομαι,irritus,confirmo
προλημφθῇ,considero,tento
προμεριμνάω,idus,trado
προνοοῦμεν,coram,providemus
προορίζω,praedestinavit,consilium
προσάββατον,sero,iam
προπέμπω,deduco,proficiscor
προσαγωγή,accedo,gratia
προσαναπληρόω,desum,actio
προσδαπανάω,denarius,duo
προσδοκάω,spero,exspecto
προσεργάζομαι,mina,primus
προσέρχομαι,accedo,dimitto
προσήλυτος,proselytus,magnalia
προσκαλέω,convocatis,vocavit
προσκληρόομαι,Silae,adiungo
προσκολλάω,relinquo,uxor
προσλαμβάνω,assumo,suscipio
προσοφείλω,scribo,reddo
προσποιέω,adpropinquaverunt,fingo
προστάσσω,praecipio,Moses
προστρέχω,Esaiam,genu
προσκυνέω,adoro,adoraverunt
προσφιλής,quicumque,fama
προσψαυέτε,peritus,at
προσωπολημψιά,acceptio,persona
προτίθημι,propono,remissio
προυπάρχω,invicem,inimicus
προφῆτις,muliero,manduco
προφητειάν,fides,prophetia
προφητεύω,prophetavit,prophetizo
προφητευόμεν,prophetamus,pars
προφητευών,lingua,prophetat
προφθάνω,an,videtur
πρώτη,primus,mandatus
πρωινός,matutinus,radix
πρωτοκαθεδριάν,salutatio,Pharisaeis
πρωτοκλισιάς,primus,discumbo
πρωτοτόκος,primitivorum,conscriptus
πταιόμεν,offendo,potens
πτερύγιον,statuo,templum
πτοήσιν,benefacio,perturbatio
πτύσμα,lutus,expuo
πρῶτος,primus,novissimi
πτυόν,congrego,manus
πτῶσις,ruina,benedico
πτωχειάν,blasphemo,dives
πύθω,interrogo,vocassent
πύλης,porta,civitatis
πύρρος,Aristarchus,Thessalonicensium
πυγμή,teneo,Pharisaei
πυλών,porta,tres
πυρετέω,inpono,oro
πυρράζω,serenus,rubicundus
πώποτε,umquam,nemo
πυρός,ignis,stagnum
πων,invocatum,requiro
ῥαβδίζω,ter,naufragium
ῥήγνυμι,accedo,daemonium
ῥώννυμι,valete,abstineo
ρἅβδος,virga,saeculum
ρἅκους,nemo,pannus
ρᾁδιουργίας,dolus,iustitia
ρἁβδούχους,lictor,dimitto
ρἁντίσωνται,urceus,baptisma
ρἁπίζει,resisto,malus2
ρἁφίδος,facilis,foramen
ρἐραντισμενοι,cor,accedo
ρἥγνυνται,uter,vinum
ρἥματά,verba,iudico
ρἥματος,recordor,verbum
ρἥτορος,adeo,quin
πῶς,quomodo,sinis
ρἧμά,verbum,pax
ρἡθείς,paro,Esaiam
ρἵζα,radix,glorior
ρἵψαν,exeo,obmutesco
ρἱζῶν,ficus,aridus
ρἱπτούντων,vociferantibus,iacto
ρὁιζηδόν,transsum,fur
ρὁμφαίαν,Pergami,romphea
ρὕμας,caecus,exeo
ρὕσει,profluvio,duodecim
ρὕσις,fluo,tango
ρὑόμενος,avertet,salvus
ρὑπαρίαν,mansuetudo,salvare
ρὑσθέντας,serviamus,sinis
ρὑτίδα,macula,eiusmodi
σάκκος,vae,Bethsaida
σάμος,venimus,sequor
σάρδιον,undecimus,sextus
σάρρας,emortuus,consideravit
σαβαώθ,clamo,Sabaoth
σαδδουκαιόυς,Sadducaeis,silentium
σαδώκ,gigno,Saddoc
σαλαθιήλ,Salathihel,gigno
σαλμών,gigno,Aminadab
σαλεύω,semel,adhuc
σαλπίζω,tuba,tertius
σαμαρείτης,mulier,samaritana
σαμαριάν,pertranseo,igitur
σαμουήλ,Samuhel,propheta
σανίς,navi,fero
σαπφείρῃ,Saffira,vendidit
σαρδόνυξ,undecimus,sextus
σάρξ,caro2,caros
σαρκικός,carnalis,nam
σαῦλος,Saulus,ecclesia
σέβομαι,colo,synagoga
σατάν,Satanas,ubius
σεβαστή,cohors,Italiam
σειρόω,reservari,rudens
σελευκιάν,navigaverunt,Seleuciam
σεμεείν,Semei,Iosech
σεμνότης,castitas,gravitatem
σερούχ,Ragau,Phalec
σημαίνω,significo,mors
σημειόω,commisceo,oboedio
σήμερον,hodie,usque
σημειών,signum,virtute
σθενόω,confirmo,Christo
σίλα,Silam,Silas
σῖτος,triticum,congrego
σιγή,silentium,quasi
σιδωνιόις,at,pax
σιλουανος,Silvanus,Domino
σιμων,iustitium,apostolus
σινδών,sindon,monumentum
σιτιά,Aegypto,frumentum
σιώπησις,comminor,at
σκάνδαλος,scandalum,vae
σκευάζω,Scevae,Iudaei
σκευή,vasa,fors
σκήνωμα,tabernaculum,tres
σκανδαλίζω,scandalizo,iste
σκηνοποιός,artio,idem
σκηνή,tabernaculum,sanctum
σκιάω,sedeo,umbro
σκληρότης,ira,duritia
σκληροτράχηλος,ubius,accedo
σκοπέω,videntur,considero
σκορπιόι,potestas,scorpio
σκότος,tenebrae,hora
σκορπιόυ,cruciatus,quin
σκοτίζω,tertius,pars
σκοτιάς,monumentum,lapido
σκύβαλον,detrimentum,existimo
σκυθρωπός,tristis,ieiuno
σμαράγδινος,simila,visioni
σμυρνίζω,murratus,bibo
σολόμων,Salomon,Salomonis
σουδαριῴ,ligo,sudarium
σοφιά,sapientia,numerus
σοφιάς,sapientia,sermo
σπανιάν,Hispaniam,proficiscor
σπαταλάω,epulor,enutrio
σπείρω,semino,verbum
σπεκουλάτωρ,decollavit,praecipio
σπήλαιον,spelunca,oratio
σπιλάς,sinis,macula
σπλαγχνίζομαι,misertus,misericordia
σπόρος,semen,semino
σπορεύς,incorruptibilis,corruptibilis
σπουδαιο͂ν,sollicitus,confido
στάμνος,testamentum,manna
σταδιόυς,marum,iacto
σταθῇ,duo,vel
σταυρός,crux,sequor
στέγη,tectum,Domine
στέλλω,devitantes,vituperet
στεῖρα,sterilis,gigno
στεναγμός,Spiritus,inenarrabilis
στενοχωριά,an,tribulatio
στερεόω,fidus,fraternitas
στήκω,sto,sive
στιβάς,via,frondeo
στόμαχος,stomachus,vino
στηρίζω,confirmo,vestra
στοιχέω,circumcisio,ambulo
στολάς,stola,amicio
στράτευῄ,Timothee,praecipio
στρατειάς,munitio,potentia
στρατευόνται,abstineo,advenas
στρέφω,trado,percutio
στρηνιάω,fleo,incendium
στρατιώτης,milito,miles
στύλον,nome,egredior
στυγητός,odientes,odibilis
σύμβουλος,consiliarius,sentio
σύμφορος,honestum,utilitas
σύνδουλος,conservus,conservi
σύνεσις,intellego,prudentia
σύνοιδα,conscio,puro
σύντριμμα,infelicito,contritio
σύνψυχοι,idem,idus
σύρω,traho,muliero
συγγένεια,accersivit,quin
συγγενής,saluto,cognatus
συγκαθίζω,conresuscitavit,medius
συγκαλέω,convocatis,amicus
συγκινέω,ita,adduco
συγκοινωνός,insula,particeps
συγκύπτω,inclino,sursum
συγχέω,clamo,confundo
συζητέω,Graecis,quaero
συκομορεάν,sycomorum,praecurro
σύν,Christo,apostolus
συλαγωγέω,videte,inanis
συλλέγω,colligo,ficus
συλλημφθῆναι,vocatum,concipio
συμβάλλω,confero,allium
συμβιβάζω,caritas,instruo
συμβουλευώ,induo,aurum
συμμαρτυρέω,testimonium,conscio
συμμορφίζομαι,agnosco,resurrectio
συμπαθέω,conpatior,vinctis
συμπέμπω,sollicitus,confido
συμπνίγω,spina,fructus2
συμφύω,spina,suffocaverunt
συμφωνέω,denarius,concordo
συνάγω,congrego,princeps
συναγωνίζομαι,igitur,oratio
συναίρω,ratio,pono
συναλίζω,convescens,praecipio
συναναβαίνω,ascenderant,Galilaea
συναναπαύομαι,veniam,vobiscum
συναπάγω,simulatio,consentio
συναποστέλλω,nonne,Titus
συναυξάνω,messis,colligo
συνδοξάζω,heres,conpatior
συνέκδημος,Gaio,animus
συνέχω,teneo,coarto
συνεδριῴ,concilium,reus
συνεκλεκτός,Babylone,cumelecta
συνεπιόμεν,manducavimus,testis
συνεπορευόντο,copiosus,vocatur
συνείδησις,conscientia,conscio
συνεσθιέιν,maledicus,eiusmodi
συνεργός,adiutor,saluto
συνευωχέομαι,sinis,macula
συνζῆν,commorior,praedico2
συνζητούντων,interrogavit,benus
συνήθεια,dimitto,consuetudo
συνθάπτω,consepelio,resurgo
συνθρύπτω,fleo,affligo
συνιέτε,intellego,nondum
συνιώσιν,videant,intellego
συνκατάθεσις,templum,idolum
συνκατεψηφίσθη,sors,Matthiam
συνκληρονόμων,repromissio,idem
συνμαθηταῖς,condiscipulus,Didymus
συνοδευόντες,stupefacio,comitor
συνοικοδομέω,coaedifico,Spiritu
συνοράω,Lycaoniae,evangelizantes
συνπαραγενόμενοι,revertebantur,spectaculum
συνπαραλαβών,Tito,iterum
συνπεριλαβών,incumbo,complector
συνπρεσβύτερος,revelanda,obsecro
συνστενάζει,ingemescit,parturio
συνστρατιώτην,cooperator,necessaria
συντάσσω,constituo,paraverunt
συντελέω,consummo,quando
συντετρίφθαι,comminuo,cateno
συντρέχω,concurro,peregrinor
συντυγχάνω,adeo,possum
συνχύννεται,cohors,quaero
συράκουσαι,Syracusam,venissemus
συροφοινίκισσα,rogo,mulier
συσταυρόομαι,peccatum,crux
συστροφή,arguo,obnoxius
σφάγιον,numquid,desertum
σφαῖρα,scribo,septem
σφραγίζω,signo,milium
σφυρίδων,septem,sporta
σχε,sequor,verbum
σχοινιών,quasi,eicio
σχίζω,scissus,velum
σώφρων,sobrius,hospitalis
σῴζω,salvus,salvum
σωρεύω,duco,exsurio
σωτήρ,salvatoris,salvatorem
σωτηριάν,salus,fides
σωφρόσυνος,sobrietas,orno
τάγμα,ordo,unusquisque
τάραχος,turbatio,parva
τάχειον,celer,citus
ταβερνῶν,ago,indo
ταλαίπωρος,infelix,caecus
ταλαιπωριάις,miseria,advenient
ταλειθά,puella,teneo
ταμειο͂ν,semino,considerate
ταπεινόφρων,amator,fraternitas
ταρσός,Tarsum,dimitto
ταῦρος,iterum,taurus
ταράσσω,turbo,conturbo
ταφή,ineo,figulus
ταχύς,citus,venio
τέκος,offendo,perficio
τέλλω,lego,servientes
τέρτιος,Tertius,saluto
τέταρτος,tertius,quartum
τεθεάμαι,Spiritum,perhibeo
τεῖχος,murus,sporta
τεκνογονέω,procreo,iuveniores
τελειότης,perfectio,vinculum
τελέω,consummo,donec
τελειώς,sobrius,succinctus
τελεσφορέω,spina,fructus2
τελώνης,publicanus,peccator
τεταρταιο͂ς,lapido,Domine
τεσσαράκοντα,quadraginta,annus
τετελειώται,perficio,careo
τετράμηνος,messis,videte
τετραάρχου,Saulus,propheta
τετρακισχίλιοι,milium,manducaverunt
τετρακόσιοι,annus,quadringenti
τετραπλόος,aliquis,Zaccheus
τεφρόω,eversione,Sodomorum
τήρησις,sermo,servaverit
τηλαυγής,restituo,inpono
της,mundo,diligo
τηρέω,custodio,mando
τίλλω,spica,sero
τίμων,fidus,eligo
τιάν,inputo,beatus
τιθεάσιν,pono,accendo2
τιμή,honoro,gloria
τιμιόυ,lapis,pretiosus
τιμό,confirmo,exhortor
τιμοθεος,Christo,Timotheus
τιμωρέω,indo,maiores
τις,quidam,si
τόκος,usura,veniens
τότε,tunc,dico2
τοιγαροῖν,certamen,inpono
τοιοῦτος,talis,eiusmodi
σύ,tu,dico2
τομός,cogitatio,quisque
τολμάω,audeo,interrogo
τους,calceatus,exercitus
τοσοῦτος,tantus,at
τράχηλος,collus,inpono
τραυματίζω,vulnerantes,addo
τραχύς,incido2,aspero
τρέφω,ubius,tempus
τρεῖς,tribus,templum
τρίβος,paro,desertum
τρίστεγος,somnus,adulescens
τριά,tres,fermento
τριετιάν,vigilate,triennis
τριχόω,indumentum,capillatura
τρόφιμος,Trophimum,Mileti
τροχός,lingua,inflammo
τρυβλιῴ,intinguit,parapside
τροφή,cibus,vestimentum
τρυγών,turtur,par
τρυφή,deliciae,luxurio
τρωᾴδι,Troade,Carpum
τύπτω,percutio,lego
τύχικος,Tychicus,carus
τυγχάνω,resurrectio,virtutesque
τυπόω,deeo,suscipio
τυφλόω,tenebrae,gloria
τυφωνικός,euroaquilo,typhonicus
ὐμῶν,viderunt,carnis
ὕδωρ,aqua,baptizo
ὕπανδρος,viro,soluo
ὕπνον,somnus,viderunt
ὕψιστος,Altissimi,David
ὕψωσις,humilio,exalto
ὑβριστής,inventores,detractor
ὑγράζω,aridum,viridi
ὑδριάς,hydria,superus
ὑμέναιος,Hymeneus,Philetus
ὑμός,vos,vobis
ὑπάντησις,obviam,exeo
ὑπακούω,oboedio,exeo
ὑπακουέτε,oboedio,servi
τῷ,edo,dico2
ὑπέχω,exemplum,abeo
ὑπεναντιόυς,adversarios,terribilis
ὑπεραίρω,extollo,stimulus
ὑπερβαίνω,praedico2,Dominus
ὑπερέκεινα,regulo,evangelizare
ὑπερεκτείνω,pervenimus,superextendo
ὑπερήφανος,superbio,gratia
ὑπερνικάω,supero,diligo
ὑπερπερισσεύομαι,delictum,superabundavit
ὑπερπλεονάζω,superabundavit,dilectio
ὑπερωο͂ͅν,cenaculum,Petrus
ὑπέρ,glorior,patior
ὑπηρέτης,minister,trado
ὑπο,contendo,subversionem
ὑπόδημα,calceamentum,dignus
ὑπόμνησις,primus,fides
ὑποβάλλω,Mosen,blasphemia
ὑποδέω,calceatus,sandalium
ὑποζυγιόυ,pullum,asina
ὑποκρίνομαι,capero,simulo
ὑπολαμβάνω,suscipio,aestimo
ὑπομένω,sustineo,suffero
ὑπονοέω,arbitror,curro
ὑποπόδιον,pes,scabillum
ὑποστολή,subtractio,adquisitionem
ὑποτίθημι,cunctus,enutrio
ὑποφέρω,sustineo,patior
ὑστέρημα,desum,abundantia
ὑφαντός,pars,miles
υἅκινθος,undecimus,sextus
ὑψόω,exalto,humilio
υἁκινθίνους,caput,equus
υἑτόν,dedo,imber
υιἕ,Fili,miseror
υιὁθεσίας,servitutis,adoptio
υιὁύς,duo,facies
