τριάριοι,triarii
ὀψωνιασμός,penuarius
ἑξηκοσταῖος,hemeresios
ἐξομοίωσις,condecet
ἐμπίμπρημι,incendo
ἄχνη,exspumo
περιπολλόν,permultus,perniteo
τρισόλβιος,perbeatus
ἐπίμομφος,inominalis
φυλαρχία,quattuoruiratus,ducena
ὀρθίασμα,pissinus
ὕλλος,ichneumon
καυλός,brassica
θολερός,turbidus
ἀξίνη,securifer
προέκπτωσις,uls
εὐαλαζόνευτος,refingo
ἐπαλάομαι,inerro,circumuagor
ὑπεράκριος,uls
μυριοφόρος,asportatio
συναπολείπω,desterto
δημηγορικός,effatus
ἀδίδακτος,indocilis
φιλοβάρβαρος,amasiunculus
ὑπεκλαμβάνω,progesto
βάκκαρις,unguedo,magma
μεταπαυσωλή,interquiesco
ἐπιζώννυμι,cinctutus
διδασκαλικός,praeceptiuus
σταίτινος,farraceus
κατοίχομαι,emortuus
κοβαλίκευμα,falsimonia
τριλοφία,iubatus
συμπλανάομαι,circumuagor,aderro
ἁρπάγιμος,surrepticius
ἀκοντί,grauatim
ξενοσύνη,hospitalitas
διαμασάομαι,masso
πλατόομαι,plautus
μινυρός,queribundus
προσρέω,obuerto
γυμνάσιον,condiscipulus
τεταρταῖος,quartanus
ἐναντιολογέω,reclamito
συναδικέω,peruerto
ἀδιάπαυστος,insedabilis
προσσυνοικέω,associo
προφυλακή,custodela
ἀκατάτριπτος,tutulatus
λοχαγέω,perducto
παίδωσις,adoptiuus
θρέπτρα,nutricio,educatrix
κρόμμυον,caepa
καλλίτριχος,capillitium
χυμίζω,permacero
διακοντίζομαι,uericulum
καταδακτυλικός,nauseabundus
ὁρικός,laserpiciarius
δηλαδή,uidelicet
αἰκίζω,deformo
ἀντιδουλεύω,praeseruio,dapino
τρίδουλος,ancillatus
ὑπασπιστήρ,sistratus
προσεπιγίγνομαι,stillarium
παγκρότως,perstrepo
ἀμπελουργεῖον,hortulus
μάγνης,magnes
συμπαιστής,congerro
περίφρακτος,rotator
κέρκουρος,acatus,nauigiolum
τεσσαρακονταδύο,quadragenarius,undequinquagesimus
φιλήτης,furator
ἴσθμιος,compitalicius
προπορεύω,beto
κέλλω,quaestiono
πάμφθαρτος,excidio
φῦσα,eurus
λιτός,gracilis
διελέγχω,coarguo
λευκόσφυρος,percandidus
ἴσθμιον,ceruicula
πολυόρνιθος,argentosus
ἀναθεματίζω,maledictio
συμπερινοστέω,circumcirco
ἀνάπλασις,formamentum
βοιωτός,pecuarius
ὑποπισσόω,pissinus
ἀποναρκόομαι,torpidus
γενέθλιος,natalicius
βασιλευτός,adiutabilis
ὁπλίτης,peltatus
συγκλίνω,acclino
φρύγανον,inaresco
συγκαταπίμπρημι,occensus
ποντόω,salum,marinus
περιγραφή,circumscriptio
προσστείχω,occedo,sublucanus
στησίχορος,octoni
λαμπάς,lampas
μετεγγράφω,pleuritis
ἐγγραφή,inscriptio
ἐγκάπτω,obsorbeo
ἐπισκοτέω,obscuritas
ὑσμίνη,depugno,propugno
εὔσκεπτος,praespeculor
φωκίων,gauia,trygona
ὁμοιότροπος,persimilis
ἐπιθηματόω,operculo
ἀναλαλάζω,occlamito,uocifico
διαιθύσσω,diffugium
λαμπτήρ,lanterna
ψιττακός,sittace,psittacus
ἑτεροδοξία,transumptio
ἀγλευκής,inacesco
ὑπερφυής,supernatus
οἰδάνω,tumido,tumefacio
ἀντεφορμάω,euripice,oxyschoenos
ἀποσκηνόω,segregatim
κλύσμα,lotio
προσόρμισις,uentio
ἑξάπλεθρος,sex,sexennis
ἡμίφλεκτος,semihomo,sesquiiugerum
καθαρότης,castitas,castimonia
θαρσούντως,fidenter
ἰσοτέλεια,paritas
βλοσυρῶπις,inspectatio
κεραμεία,figularis,pnigitis
φρονηματίζομαι,madesco
τρέφω,pasco
πέμμα,crustum
ἐρέθω,ruspor
κάθυδρος,uenenosus
ἐμπυέω,exsanio
ἔρχομαι,meo
νομικός,legalis
ἐπαγροσύνη,halieuticus
ἐκδύω,exuo
προσμολεῖν,admeo,deuenio
ἐπικίδνημι,superinsterno,supersterno
ποιμενικός,upilio,opilio
ὀρθόκρανος,orthius
θέλξις,incantatio,fascinatio
πέλασις,admeo,appropinquatio
ἑπταπέλεθρος,septunx
ἀμήρυτος,uulnifico
συνοίκησις,camelae
ὑπερηφανεύω,adulescentior
συγγηθέω,pergaudeo,praegaudeo
θαλασσόπλαγκτος,aderro
πολύρραπτος,subsutus
λεῦκος,lelepris,ophthalmias
ἐπιρρύομαι,sospito
πολύπυρος,farratus
πελιδνός,liuido
καυματίζω,occensus
δύσοιμος,peristasis
δαϊκτάμενος,proeliaris
γλαγόεις,galaxias,lacteus
καταρρυπαίνω,obsoleto,inspurco
μῶν,nonne
ὑπέρχυσις,restagno,proluuies
χιονόπεζα,ninguis
ὀλιγότροφος,nutrimen
εὐπαράκλητος,agitabilis
τιφώδης,paludosus
ἐξεριθεύομαι,internecto
στρατηγία,ductus
καταπειθής,obaudio
διχάς,meditullium,medietas
καταδαρθάνω,obdormio,obdormisco
δολοφροσύνη,astutia
σελήνη,luna,plenilunium
κρασπεδόομαι,bipennifer
ἀπόγραφος,simulamen
πιστευτικός,fiduciarius
ἀλλαντοπωλέω,abiegnus
κλέμμα,surrepticius
μελάνυδρος,pulleiaceus,nocticolor
μεταλλευτός,municipatim
διαπρύσιος,penetratio
τεκνοραίστης,destructor
ἐπίπολος,compransor,coepulonus
συνταπεινόομαι,catatonus
συμφιλοσοφέω,sophia
λιπαρός,opimus
ἄχυμος,subinsulsus
φράστωρ,moderamentum
ἐξορμάω,prosilio
στώμυλμα,lingulaca
περιτίλλω,subuello
παραγίγνομαι,aduenio
φιλεύιος,barrio
ὀλίγος,breuis
ἀλληλοκτονία,mutuarius
σχολαστής,uaciuus
ἀντικέλευθος,obiectus
ἔχις,uipera
δηθά,iampridem,diutinus
κέρας,cornu
δυσάλγητος,perdurus
ἀντέχω,attineo
ἐνίστημι,praesum
παρασκευαστός,seruabilis
κατάρροος,grauitudo
καταιδέομαι,inuerecundus
ἄροτρον,aratro
οἰωνίζομαι,inauguro
συνοίκουρος,domesticatim
σφαιριστήριον,sphaeristerium,pilaris
ἐντρυφής,praelautus
φονεύω,cruor
καταστασιάζω,repromissio
ξεστός,rasilis
χειραπτάζω,manciola
μετάστατος,transmigro
δοκιμάζω,probo
ἔκτρησις,epizygis
ἀστράτευτος,ministratio
ἐξαλλαγή,commutatus,emutatio
προνομεύω,expilo
φοινικόεις,porphyreticus,russus
τρώξιμος,holero
διαιτάω,regulo
διέρομαι,proco
συρράσσω,boo
ἰσαῖος,parilitas,paritas
λατομητός,saxulum
ἐπαινέτης,commendator
τάφος,funus
σπηλαιώδης,cauamen
ἐπάξιος,condignus
σύνθροος,multisonus,undisonus
κρησφύγετον,refugium,confugium
φιλοπονηρία,dilectio
ἡμιμέδιμνον,semihomo,sesquiobolus
δειπνίζω,uenumdo
καταντάω,deuenio
κτίτης,inquilino,paniceus
ἠλιθιόω,perdelirus
προσενόω,associo,aduno
συννοσέω,aegrotus
ξενοκτονέω,xenodochium
ἄσπιλος,staphyloma
ἐπισφραγίζω,obsigno
ὁπλομάχος,armisonus
πεζεύω,circumluuio
νεικέω,alterco
ἀντικνήμιον,crus
ἀπερίστατος,impos
συρία,amicimen
κοινωνέω,socio
δυσκάθαρτος,perdurus
πομπίλος,zopissa
ἰσατώδης,glastum
κενανδρία,uaciuitas
προσεπαινέω,allaudabilis,dilaudo
πέσσω,maturo
παράψογος,retaxo
ἀδιάλειπτος,incessabilis
ὑδατοτρεφής,mictus
φιλοχρηματέω,redamo,dilectio
τανύπτερος,alatus,pennatus
ἀποξενωτέος,reiectaneus,repudiosus
βρέμω,admurmuratio,immurmuro
ἐξεράω,defundo,offundo
ἀνδρομήκης,excelsitas
σκυβαλισμός,repudiatio
κυνηγετικός,uenatura,uenaticius
κλεψίαμβος,syntonum,organarius
ἐπισκιάζω,inopaco
δυσέκτηκτος,dimadesco
ἀρτιστράτευτος,missicius
ἄσβεστος,calcarius
ἐξενέπω,farior
παγγέλοιος,pernosco
ποικιλόω,plumo
σκαμμωνία,scammonea
καταξαίνω,lancino
συνδιάκτορος,concubitor,sociennus
ἀνδρίον,homullus,homuncio
ὥρασι,infelicitas
ταυρόκολλα,glus
παραείρω,altrouorsum
ἀγρυπνέω,insomnis
λήμη,lema
ἐκπονέω,opusculum
ἀμέτοχος,habitio
κορυφαία,cephalicus
ἀκριβολογέομαι,pensito
δῶμα,familia
σικυών,cucumis
ἀστάλακτος,semimadidus
ἀντιπαίζω,pandurizo
ἀποπεράω,superueho,superfero
πολεμίζω,belligero,bellor
βροτοκτόνος,interfectrix
τρωκτός,uermiculatio
ἰθυπτίων,euthia
ἀπόγειος,rallum
παράτροπος,repandus
πύρνον,siligineus
κατάκλισις,cubitus
ὄρχατος,hortulanus
μήνυσις,subiectus
γαστρίον,farcimen
αὐχμώδης,peraridus
ἀποπιέζω,interstringo,exurgeo
δυσμνημόνευτος,rememoror
αἱμοφόρυκτος,obstupratus
ἀποφεύγω,elabor
φλοϊστικός,philyrinus
πόλτος,tragum
συγκαθίημι,conquinisco
σύγχορτος,chortinus
ἠλιθιάζω,blatero
ποδαβρός,monopodius,anguipes
τοιχώρυχος,circumfossor
συγκατεργάζομαι,adiutus
ἑστία,focus
ἀνακυκλέω,circumroto
ἀθλητής,erus
ἀποβατήριος,escensio
φέγγω,lampo,interniteo
ἀνηβητήριος,puerasco
εἰσαφικνέομαι,deuenio
βοηθητικός,ubiuis
κιβωτός,arca
προσανοιμώζω,suspiratus
προκαταγιγνώσκω,praedamno
κατακοντίζω,stolo
φλέξις,flagrantia
χρυσεόκυκλος,aurosus
μίσθιος,mercenarius
πολύθερμος,praecalidus,praeferuidus
ἐξεγγύησις,subuades
κισσός,hedera
συστενάζω,delamentor
δρυμός,uirgultum
ἀπόκομμα,schidia
λακάζω,hirco
ψευδόμαντις,pseudopropheta,uaticinator
εἶδος,figura
ἀλληγορέω,allegoricus
σινάς,phthorius,permitialis
βομβαύλιος,utricularius
κάθυγρος,manamen
σμίνθος,muscerda,myosota
συμφιλονικέω,sermocinatio
ἔμπικρος,subbreuis
κατακοιμίζω,perdormisco,edormisco
συναλλαγή,pacifero
ὁδοιπλανέω,offlecto
ἀμορβός,pastorius
ἔνδοθι,intus
συνεχής,continuus
ἀπομιμέομαι,simulamen
ἐπιδοιάζω,peruoluto
ἀνακέομαι,sarcio,reconcinno
συναίνυμαι,sublego
ἀναγγέλλω,reporto
συγκορυβαντιάω,inspiratio
ἐκκήρυκτος,praeicio
βδέω,suppedo,suffringo
ἐπιψηλαφάω,condoleo
κωνοειδής,flaminica
φυστή,lagunculus
ἀρρυσίαστος,impromptus
παραισθάνομαι,annotamentum
δελφακόομαι,congermanesco,procresco
αὐτάγγελος,comportatio
προσαναβαίνω,inscendo
προθέω,prolatus
ἀντιπρεσβεύομαι,euergo
βαρύτιμος,uendax
φοβερός,pauidus
ἀναπτέον,gleucinus
χειροκοπέω,praetrunco
κάτος,secutorius
ἀπόπροθι,illatenus
δίσκημα,disceus
διογκόω,extumeo
συνεισβάλλω,interstruo
κεραμωτός,gausapatus
ἐγχάραξις,sulcamen
δύσομβρος,nimbifer
ἐπόψιος,perspicabilis
ἀντιχορηγέω,pellico,subnuba
ἐσχατίζω,serotinus
περικλινής,deiugis,subuexus
παραπλήσσω,astupeo
κολοιάρχης,monedula
κατάρτυσις,condocefacio
φρουρός,tutor
ἰταμός,parabolus
μάμμη,proauia,matercula
κατακολουθέω,subsequor
ἐναλίγκιος,trichomanes,ophidion
μενοινάω,concupiscentia
δυσφύλακτος,dureo
ἀπεμφαίνω,incongruus
χαυνόω,detendo
ὁλόχρυσος,aurosus,materinus
τιθύμαλλος,tithymalus
δέφω,praemollio
ἐπιπωλέω,successorius
ἀφροσύνη,stultitia
καινουργία,reparatio
παιδαριώδης,puerilis
προδικασία,proludium
μυλοειδής,harundinaceus
συμπατάσσω,fligo
ἐπισημαίνω,denoto
φιλόμβροτος,oblectatorius
ἄσκησις,exercitatio
συνθεάομαι,conuolo
οἰωνοπόλος,auguratus
κάταρξις,principialis,inceptus
ἄφλεκτος,ignispicium
αὐτουργία,occisio
ἐποποιός,uersificator
πολεμητήριον,cephalicus
οἰστός,tolerabilis
ἄορνος,auiarius
χρησμοσύνη,paupertas
δακτυλιαῖος,sesquidigitus
καταφράζω,pensito
τραπεζεύς,discubitus,mensula
ἑλκώδης,uulnifico
ἀσκέπαρνος,securifer
ἐπίκτητος,athleta
στρατηλατέω,iussio
κολοσσιαῖος,colossicus
νυκτιφαής,euphrone
πολυαρμόνιος,multimodis
μυσός,miluus
ἀπουραγέω,supertego
μυσόω,funesto,propolluo
ἀγονία,caluitium
σιτοπώλης,farratus
γάστρις,degulator,cataphagas
συκοφάντης,delator
συγκύρημα,conexus
ἀραβέω,infrendeo,frendo
κοιλωπός,cauerno,concauitas
ὀβριμόθυμος,sumptito
νεκάς,struix
συντανύω,conuectio
ἀκληρέω,infortunatus
περιστέριον,siderion
ὁμοήθης,onear
ἀποκολυμβάω,abnato
λεγνωτός,patagiatus
ἀερσιπότης,altiuolus,altiuolans
βίαιος,uiolentus
πέπλωμα,amicimen,peplum
ξανθοφυής,naturalitus
γλύκων,dulcesco,perdulcis
νήνεμος,meses
βάλανος,glans
καταχορδεύω,farcimen
σκυθρωπασμός,maestitudo
δεκατόσπορος,decimatio
μυστοδόκος,halagora
φιλόχορος,chorus
πραγματώδης,putidiusculus
ἀνοιδέω,extumeo
ἐφύμνιον,reparco
προδοκή,insidiatrix
αὔλιος,complico
λυσιτελούντως,lucrosus
ἀλεξίμορος,emortualis
πύελος,lauabrum
ἆθλον,certamen
διαστασιάζω,inimico
ἀστυάναξ,dominator
ὄμβρος,imber
περ,quicumque
σπέος,antrum
ἀμβροσία,immortalitas
γαμετή,marita,matrona
συγκατάκειμαι,accubitum
τηνικάδε,hornus
κρεουργός,carptor
εὐοδόω,uiaticulum
ἐξορθιάζω,occlamito
ναέτης,paniceus
δυσμήχανος,diametrum
δυσανταγώνιστος,delucto
ἰυκτής,excaecator
παρακολουθέω,subsequor
ἀτίμητος,incensus
πυθαγορίζω,pythagorisso
καθόλου,uniuersus,imperatorius
ἐρειψίτοιχος,extramuranus
ἐδανός,edulis
ταριχευτός,oxycomina
ὑπερευδαιμονέω,beatifico
πρόσκωπος,remulus
ἐπῳδός,stasimum
μύησις,initiamenta,teleta
πελειοθρέμμων,columbulus
πολυγήραος,peruetustus,peruetus
δεκτός,cognobilis
προσράπτω,transuo,obsuo
περιστολή,celate
ἄχλοος,calamentum
χναύω,arrodo
ὑπαντάω,occurro
ἐπιλάζυμαι,offulcio
ἀσκάντης,grabatulus
παρανομία,delictum
πεῖνα,esuries
εἰδωλοποιικός,imaguncula
μηκέτι,decoctum,decima
λεῖος,deleuo,colleuo
ἄδικος,iniuria
δείελος,uespertinus,peruesperi
κοπόω,delasso
θρασύνω,proteruio
κατισχνάω,disraro,gracilentus
μεγαλοσχήμων,uastulus
περιοργής,periratus
φήνη,uulturinus
κατολισθάνω,sublabor
ταραχή,perturbatio
ποκίζω,tonsito
μνημόσυνον,mnemosynon
συνδιαστρέφω,pertorqueo
θελκτήριον,cantio
περιστίζω,circumcirca
ἐνσχερώ,remigo,adremigo
θερμός,calidus
ἐξᾴδω,accano
πλευρῖτις,pleuritis
λείβηθρον,hygremplastrum
κατασκέλλομαι,sceletus
παρασιτέω,parasita
κηραίνω,perbito
θαυματουργός,factitator
διασυρμός,obtrectatus
ἰατρεία,sanatio
σιλουρισμός,depulsorius
συμπίεσις,compressio
ἀναλγησία,insensibilitas
ἕψησις,lenimentum
θελκτήριος,delenificus
πεντετάλαντος,quintarius
κεφαλίς,cucullio
κατασικελίζω,peculor
ἀταπείνωτος,impromptus
συμμετέχω,incusus
γρυλίζω,grunnio,muttum
ἀριστόδειπνον,ientaculum,pransorius
ἀπαυδάω,delinquo
ἀπόμνυμι,deiero,iuramentum
ταχύπωλος,praeuelox
ἀμαύρωμα,hebetatio
ἐγκτάομαι,habentia
σῖτος,frumentum
περιφραδής,pergraphicus,percommodus
ἀξιόποινος,punitio
περικλύζω,inobrutus
προμάχομαι,propugno
ἑτερήμερος,hemeresios,indies
ἄπνευστος,inanimis
ἐπόπισθεν,uentio
εὐέμβολος,inuasio
προαισθάνομαι,sentisco
ἀναρρήγνυμι,effringo,refringo
ἐπάρδω,madefacto
βήρυλλος,beryllus
διακηρυκεύομαι,ceryx
περιάπτω,adalligo
συνδυαστικός,aduiuo
τερμόνιος,cosmicos
καλάμινος,harundineus
νευροκοπέω,suffraginosus
ἐρυστός,chiramaxium
θαυματοποιία,praestigio
πιτυλεύω,remulus
ἀσάμινθος,balnearius,lauatio
ὑδέω,appellito
ἀμιξία,castimonia
γλοιός,oleosus
ὕπνος,somnus,soporus
ἀπριγδόπληκτος,impercussus
κατάφρακτος,cataphractus
εἰσερύω,supertraho
πυξίς,pyxis,pyxidatus
πόρπαξ,ansa
λισσόω,necesso
παιδότροφος,iuuencus
δεξιώνυμος,nominito
λισσός,colleuo,deleuo
σύναυλος,harmonicus
λέχριος,decusso
κουράς,lacunar
πλεθρίζω,arcuatim
διευλυτέω,expenso
εὐθαρσής,animaequus
φιλοθύτης,mulierosus
λευρός,colleuo,deleuo
στροφεύς,atlantion
ἰδιωτεύω,clanculo
φυγαδοθήρας,excaecator
ἀστάθμητος,dubietas
περιτέλλομαι,circumcirco
λευκόλιθος,lygdinus,lychnites
ἀμαθύνω,saburra
πηνέλοψ,anatinus,anatarius
πάμμικρος,perparuus,semiphalarica
χλωρίς,mados
ἡμιαμφόριον,semihomo,sesquiobolus
διασκευάζω,fabrio
ἀγυιᾶτις,amidae
ἔλπω,spero
σπερματικός,semento
χειρόκμητος,embaenetica
ἐμβλέπω,perspecto,introspicio
ἐξέρευξις,ructabundus
διακηρύσσω,auctionarius
σκίρτημα,subsilio
θεοκλυτέω,introuoco
διαμειδιάω,surrideo
ἀερσίλοφος,cristatus
συνταχύνω,rapso
ἰχθύβολος,ophthalmias,phager
συμμαχικός,coniuratio
τριμερής,tergenus
πρόκρισις,praelatio
θρίξ,capillus,caesaries
ὀγδοήκοντα,octogenarius,octogeni
ἐπιπροθέω,oxyschoenos
ἐπίθημα,operculo
ἀποχάζομαι,intertraho
συνδιαπονέω,opificium
λαώδης,popularitas
κυνισμός,ethice
ἑτερόθροος,trilinguis
μελάμπεπλος,pulleiaceus,nocticolor
εὔποτος,exbibo,interbibo
πανοίκιος,domuncula
συνδῃόω,populabundus
ἐξερεείνω,requirito
τέγγω,irroro,cohumido
καθαρτικός,purgatorius
ἀπατεών,sycophantor
στελεός,uolutus
ἀκροπότης,potor
δόλιος,prodicius
θάλπω,excalfacio,incalfacio
συνυπερβάλλω,transuado
στελεόω,manubriatus
σιδηροχίτων,solliferreum
κυλίστρα,subuoluo
ἀργής,florus
αἰσθητήριον,hydraulus
κισσόω,hedera,nysion
λυσιτέλεια,oeconomia
ψαλμός,chelys
ἀψήφιστος,impromptus
καλλικρήδεμνος,strophium
εὐεκτέω,beatitas
σαυλοπρωκτιάω,cluniculus
διαπονέω,dureo
κελαινεφής,nigellus
ἀρρύθμιστος,perasper
ἀφρονέω,perdelirus,desipio
εὑρησιλογέω,praelector
ἀκροατήριον,salutatorius
ἰχθυηρός,lelepris,zeus
ἀναβοάω,exclamo
θαλπνός,concalfactorius
καταισχύνω,erubesco
ἀντιλαγχάνω,recusatio
πυργόω,attollo
ἐξαντλέω,exanclo
δᾳδίον,facula
κλαίω,ploro
ἐγκαλινδέομαι,subuoluo
φαιδρότης,claror
κτείνω,neco
ἠερόφωνος,multisonus
ναυβατέω,praeseruio,dapino
καύχημα,iactantia
μώλωψ,sanguinarius
οὐρίζω,istac
περιβραχιόνιος,bracchialis
ἐπιθορυβέω,iubilo
ἐπανακυκλέω,restipulatio
ἄκεσις,sartura
στρατίωτις,peltasta
τρίοδος,triuium
οἷος,qua,qualis
δεκέλεια,as
πυράζω,suburo
ὀδύνη,dolentia
ὧπερ,undelibet
ἀναβάλλω,reicio
μυρίος,immensus
ὑποσίδηρος,praeferratus
ὑπέρβασις,transgressio
δυσόνειρος,coniectrix
κρυόεις,algificus
πανύστατος,finalitas
ἀσωτία,nepotatus
πέμφιξ,nubifer
πεῦσις,percontatio
δμώς,ancillatus
φυτεύω,arbusto
ἄνειμι,surgo
δωδεκάδραχμος,duodecies
ἐγκαταλογίζομαι,abnumero
χαυλιόδους,eburneus
τεχνάομαι,machinor
διασοφίζομαι,sophistes
φόως,illucesco,lucesco
ἀπόσβεσις,arabarches
ἐπανθεμίζω,peruolito
ἐπίτευγμα,aelurus
πτίσμα,granatim
ἀβάκχευτος,thiasus
ἁλιόω,incassus
ἐκκνάω,derado
ὄνειος,onagos,lalisio
ῥητορεία,precarium
ἐκριπίζω,exsufflo
σάγος,paludamentum
παροχετεύω,auoco
λαθίπονος,inoblitus
ἀκροκελαινιάω,nocticolor
τετράορος,quadriiugis,quadriiugus
ἐπιφθύζω,conspuo,consputo
πιθών,torcular,salinum
ψίλαξ,penniger,auitium
ἀλάομαι,uago,palor
ὑπερκρεμάννυμι,circumpendeo
πανός,facula,taedifer
ἁλιερκής,thalassicus,pelagicus
μάσσω,prelum
ναυσθλόω,thalassicus,pelagicus
αἰολόπωλος,illubricans
ἐρίγδουπος,multisonus,altitonans
ἀνακαλέω,uocito,reuoco
ἀναχώννυμι,iactus
μωρόομαι,torpidus
πανταχόθεν,undique,circumquaque
δελφίνιον,delphinus
θεοδώρητος,purgatorius
ψήφινος,marmoreus,marmor
σύσκηνος,conuictor
σκυτοβραχίων,obarmo
ἀπόχειρος,indispositus
ἀδέω,satietas
ἀπομερμηρίζω,edormisco
λυσσητήρ,exsaeuio
ὀρείχαλκος,cuprinus,chalcites
ἐπιδόρπισμα,epidipnis
συναναστροφή,patrimus
ἐπιψηφίζω,quaestiono
ἐναγώνιος,procinctus
κέλυφος,conchula
περιφορά,circino
τριόδους,fuscina,tridens
ἤτε,ue,necne
ἡγεμόνιος,rectio
περιστοιχίζω,conuallo
ἀμετάστροφος,irretortus
ἀποτρύω,effrico
ὑπόβασις,flexura
ἔ,hei
λιμνάζω,stagno
πυριατήριον,pyelus
ἀστυνόμιον,halagora
περισείομαι,circumcirco
ἀμόλυντος,intaminatus
γρύψ,picus
ἐλεγκτήρ,excaecator
πηλαῖος,lutensis,lutarius
ἐνυφαντός,circumtextus
ὑπηρέτησις,ministratio,permereo
ἐράστρια,amasio,amasius
μέλισσα,mella
σπερμαίνω,egigno
πράκτωρ,desponsor
προκαταφθείρω,interneco
εὔνεως,ephippiatus
σύναξις,frugilegus,turilegus
σκύμνος,scymnus
ἐπωνύμιον,agnomen,appulus
δίω,uenor
κεράω,corniger
ὑπαφίσταμαι,reducto
δίς,bis
καθαιμάσσω,immaculo
θεατροκρατία,coexercitatus
λίνεος,lineus
ὀρυκτός,fossicius
ἐν,in
συνόλλυμι,perbito
ἐκ,ex
τρίβω,contero
ἐπιτέχνημα,machinatus
μεγαλοδωρία,munificentia
πλημοχόη,testu
ὀλιγοπότης,sabaiarius
ἐπερεύγομαι,superhabeo
λόγος,ratio
πηκτίς,aucupium
ἀρχαιόγονος,authenticus
νηφάλιος,meliton
ἔσχαρος,ophthalmias,phager
ἀναδύομαι,reducto
συνεπισχύω,caelifer
πεντηκοστεύομαι,trientarius
πότερος,talus
κλειδόω,clostellum,mallus
ἐνάμιλλος,parilis
κασίγνητος,auunculus
συμπεριφέρω,conuerso
ἀξιοπρεπής,pulo
δρόμος,curriculum
κιλλίβας,superasto
εἰλήθυια,cometes,hippeus
περιφίλητος,exabusus
ἐρυθροδάκτυλος,erythros
ὀρχηστύς,saltatus,thiasus
τολμήεις,perpessio
βαθύζωνος,cinctutus
μύνη,dissimulamentum
μοθωνικός,harundinaceus
συναπόλλυμι,deperdo
ἀπακριβόομαι,artius
ἀλογίου,habitio
παρεκβαίνω,deuio
γείσιον,infimo
ἐκθέω,prouolo
ὀξυφαής,subargutulus
πασπάλη,farinarius
διεξελίσσω,renodo
νυμφαγωγία,nymphon
συντιμάω,adaero
ἑλκεχίτων,tunicula
ἀποθήκη,apotheca
μάσημα,supermando
εὐρύχωρος,bipedaneus
ἐκρέω,collabor
ψαρός,sturnus
ταχύπομπος,praenauigatio
ὠκυβόλος,impromptus
σκυτοδέψης,coriarius
ἐπιδιπλασιάζω,conduplico,duplio
οἰνώδης,meliton,uinarius
συνεξαποστέλλω,euergo
ῥοώδης,cursura
ἄσπορος,inoffensus
ἠπεροπευτής,deceptor,fraudator
προσαποβάλλω,cernulo
εἴσειμι,introcedo
ἐπαναγορεύω,prouulgo
λαμπτηροκλέπτης,lucernula
ζευκτός,confixilis
διαχείρισις,exercitio
ὑμνοπόλος,allaudabilis
λακκόω,excauo,concauo
παλίνουρος,mictus
φιλάρετος,amasio
ἄπολις,dialectica,dictamnum
ἑξακοσιοστός,sescentesimus
κουρητικός,megistanes
ἐπαλείφω,superlino,perlino
ἀταύρωτος,semipuella
ἀφυής,hebeo
καταπλαγής,lymphaticus
παρεξαμείβω,praeteruerto
νικόβουλος,consentium
δωριστί,dialectos
ἡμιπλίνθιον,semilater
ἀνθρωποθυτέω,idolothytus
δικτυόκλωστος,retiolum
λοῦσις,lotura,lotus
διάταγμα,dispositio
ἑδραίωμα,fulcimentum,destina
νεότοκος,nuperus
μετά,inter
συγκεφαλαιόω,capitatus
ὑδεριάω,hydropisis,ascites
θοινάω,epulor
συμβοήθεια,iuuamen
ἀφανδάνω,perplaceo
παίδιον,iuuencus
ἑκκαιδεκαστάδιος,sedecies
κηδεύω,denubo
ἀντίκεντρον,distimulo
πολυειδία,dissidentia
ἐπαναβοάω,occlamito,interclamo
λογιότης,facunditas,infacundia
παρατροχάζω,praetercurro
κέλαδος,sonor
διήθησις,percolatio
ἀνανήφω,sobrio
βαπτός,dibaphus
ὑπερηνορέων,uiratus
διασάφησις,historice,hermeneuma
διαρρέω,euanesco
ἐπαινετός,praedicabilis,laudabilis
πενθικός,atratus,lugubris
ἐγκαθοράω,annotamentum
μυριόκαρπος,innumerabilitas
ὑψινεφής,nubiuagus
ἐγγράμματος,epistolicus
ἐνήλωσις,gomphus
πεντάδραχμος,quintarius
ἀντίτομος,antidotum
λέχομαι,discumbo,cubito
χρυσηλάκατος,aurosus,chrysendetus
ἀγώνισις,certabundus
ὑπονήχομαι,superenato,abnato
φρόνημα,spiritus
ἀναμανθάνω,addisco
δυσήροτος,obaro,plaumoratum
κατόνομαι,insectanter
ὀρθοδαής,noscitabundus
ἀνήνεμος,praemitis
ἄβροτος,indesertus
πεντήρης,quinqueremis
διακόνημα,ministratio
τρυφάλεια,tripedaneus
μυομαχία,myoctonos
ἀκρότομος,deleuo
διαρραγή,reuulsio
συκόμορον,myxum,pomifer
ἐφηβικός,postscaenium
χορός,chorus
λῄταρχος,archiereus
ξενηλασία,expulsio
τρώς,durius
ἐπαγορεύω,proquirito
κατάρτισις,recreatio
πολυώδυνος,peracerbus
κομπώδης,magnidicus
γαστρισμός,comesus
χρησμολογέω,sortifer
παραδρομή,cursura
διαπολέμησις,peractio
ἀδελφόπαις,collactaneus
νηκτικός,superenato,abnato
ἠμί,inquam
καταλεκτέον,abnumero
νάπη,napaeus
ἀναπετάννυμι,patulus,adaperio
μίτρα,diadema
ἥδυσμα,condimentarius
εὐνοέω,putealis
ἔμεσις,igniuomus
προσγυμνάζω,immeo
νυκτερίς,uespertilio,uesperugo
προαποσφάζω,leto
μεγαλοπραγία,antepotens
ὑδροκέφαλον,cephalicus
ἐπιφοιτάω,recurro
οἱονεί,ceu,perinde
